"# 9/27/2020","Country/ Other","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","New Recovered","Active Cases","Serious/ Critical","Tot Cases/ 1M pop","Deaths/ 1M pop","Total Tests","Tests/ 1M pop",Population,Continent,"1 Case every X ppl","1 Death every X ppl","1 Test every X ppl"
198,St. Barth,48,+3,,,25,,23,,"4,856",,"2,668","269,931","9,884",North America,206,,4
199,Macao,46,,,,46,,0,,71,,"4,238","6,505","651,451",Asia,"14,162",,154
200,Fiji,32,,2,,28,,2,1,36,2,"9,912","11,038","898,016",Australia/Oceania,"28,063","449,008",91
201,Dominica,30,+6,,,24,+6,6,,416,,"2,612","36,263","72,030",North America,"2,401",,28
202,New Caledonia,27,,,,26,,1,,94,,"14,233","49,738","286,159",Australia/Oceania,"10,598",,20
203,Saint Lucia,27,,,,27,,0,,147,,"7,994","43,486","183,831",North America,"6,809",,23
204,Timor-Leste,27,,,,27,,0,,20,,"6,783","5,122","1,324,385",Asia,"49,051",,195
205,Grenada,24,,,,24,,0,,213,,"6,252","55,499","112,650",North America,"4,694",,18
206,Laos,23,,,,22,,1,,3,,"49,648","6,800","7,300,756",Asia,"317,424",,147
207,Saint Kitts and Nevis,19,,,,17,,2,,357,,"2,337","43,854","53,290",North America,"2,805",,23
208,Saint Pierre Miquelon,16,,,,6,,10,,"2,765",,"1,967","339,900","5,787",North America,362,,3
209,Greenland,14,,,,14,,0,,247,,"7,505","132,144","56,794",North America,"4,057",,8
210,Montserrat,13,,1,,12,,0,,"2,604",200,449,"89,926","4,993",North America,384,"4,993",11
211,Falkland Islands,13,,,,13,,0,,"3,711",,"2,261","645,447","3,503",South America,269,,2
212,Vatican City,12,,,,12,,0,,"14,981",,,,801,Europe,67,,
213,Western Sahara,10,,1,,8,,1,,17,2,,,"600,775",Africa,"60,078","600,775",
214,MS Zaandam,9,,2,,,,7,,,,,,,Maritime,,,
215,Anguilla,3,,,,3,,0,,200,,"1,020","67,842","15,035",North America,"5,012",,15
,Total:,"10,295,880","+114,593","189,522","+1,694","8,587,886","+118,438","1,518,472","20,809",,,,,,Asia,,,
,Total:,"8,736,975","+44,138","307,501",+752,"5,571,454","+43,626","2,858,020","17,636",,,,,,North America,,,
,Total:,"7,919,098","+39,845","248,722",+966,"6,741,703","+49,781","928,673","17,214",,,,,,South America,,,
,Total:,"4,859,045","+50,987","220,405",+398,"2,489,105","+10,517","2,149,535","8,151",,,,,,Europe,,,
,Total:,"1,467,555","+8,365","35,215",+135,"1,213,045","+5,734","219,295","1,515",,,,,,Africa,,,
,Total:,"31,043",+26,912,+2,"28,286",+65,"1,845",22,,,,,,Australia/Oceania,,,
,Total:,721,,15,,651,,55,4,,,,,,Maritime,,,
,Total:,"33,310,317","+257,954","1,002,292","+3,947","24,632,130","+228,161","7,675,895","65,351","4,273.4",128.6,,,,All,,,
